,activity_id,nest_id,video_id,behavior,recess_cause,datetime_begin_raw,datetime_end_raw,datetime_begin_corrected,datetime_end_corrected,has_negative_duration,begin_dt,end_dt,duration_min,duration_hr,total_mins,init_median,year,species,fate,fate_day
1,28130,25ejs077,25-EJS077,I-Incubating,NotApplicable,2025-07-09T05:28:14-08:00,2025-07-15T03:34:15-08:00,2025-07-09T05:28:09-08:00,2025-07-15T03:34:20-08:00,FALSE,7/9/2025 5:28,7/15/2025 3:34,8526.183333,142.1030556,15059.85,174.5,2025,KIEI,Destroyed,204
2,27973,24cam058,24-CAM058_1,I-Incubating,NotApplicable,2024-07-11T04:45:02-08:00,2024-07-16T03:26:27-08:00,2024-07-11T04:44:57-08:00,2024-07-16T03:26:32-08:00,FALSE,7/11/2024 4:44,7/16/2024 3:26,7121.583333,118.6930556,27151.16667,176.75,2024,KIEI,Hatched,204
3,27922,24akm020,24-AKM020_1,I-Incubating,NotApplicable,2024-07-05T03:58:25-08:00,2024-07-10T02:33:50-08:00,2024-07-05T03:58:20-08:00,2024-07-10T02:33:55-08:00,FALSE,7/5/2024 3:58,7/10/2024 2:33,7115.583333,118.5930556,30951.53333,170.75,2024,KIEI,Abandoned,198
4,27435,23jls040,23-JLS040_1,I-Incubating,NotApplicable,2023-07-01T10:07:35-08:00,2023-07-06T08:04:29-08:00,2023-07-01T10:07:30-08:00,2023-07-06T08:04:34-08:00,FALSE,7/1/2023 10:07,7/6/2023 8:04,7077.066667,117.9511111,15435.05,165,2023,KIEI,Destroyed,193
5,27267,22jam031,22-JAM031_2,I-Incubating,NotApplicable,2022-07-10T05:38:23-08:00,2022-07-14T10:23:01-08:00,2022-07-10T05:38:18-08:00,2022-07-14T10:23:06-08:00,FALSE,7/10/2022 5:38,7/14/2022 10:23,6044.8,100.7466667,28501.5,177,2022,KIEI,Hatched,202
6,27924,24akm020,24-AKM020_1,I-Incubating,NotApplicable,2024-07-10T02:50:10-08:00,2024-07-14T05:03:38-08:00,2024-07-10T02:50:05-08:00,2024-07-14T05:03:43-08:00,FALSE,7/10/2024 2:50,7/14/2024 5:03,5893.633333,98.22722222,30951.53333,170.75,2024,KIEI,Abandoned,198
7,27271,22jam031,22-JAM031_2,I-Incubating,NotApplicable,2022-07-17T03:58:32-08:00,2022-07-21T06:11:50-08:00,2022-07-17T03:58:27-08:00,2022-07-21T06:11:55-08:00,FALSE,7/17/2022 3:58,7/21/2022 6:11,5893.466667,98.22444444,28501.5,177,2022,KIEI,Hatched,202
8,27547,23kwm086,23-KWM086_1,I-Incubating,NotApplicable,2023-07-02T08:57:16-08:00,2023-07-06T09:12:44-08:00,2023-07-02T08:57:11-08:00,2023-07-06T09:12:49-08:00,FALSE,7/2/2023 8:57,7/6/2023 9:12,5775.633333,96.26055556,15683.11667,164,2023,SPEI,Hatched,194
9,27084,22jam031,22-JAM031_1,I-Incubating,NotApplicable,2022-07-04T08:25:42-08:00,2022-07-08T04:21:20-08:00,2022-07-04T08:25:37-08:00,2022-07-08T04:21:20-08:00,FALSE,7/4/2022 8:25,7/8/2022 4:21,5515.716667,91.92861111,28501.5,177,2022,KIEI,Hatched,202
10,28111,25ejs077,25-EJS077,I-Incubating,NotApplicable,2025-07-05T06:42:37-08:00,2025-07-09T01:46:14-08:00,2025-07-05T06:42:32-08:00,2025-07-09T01:46:19-08:00,FALSE,7/5/2025 6:42,7/9/2025 1:46,5463.783333,91.06305556,15059.85,174.5,2025,KIEI,Destroyed,204
11,27437,23jls040,23-JLS040_1,I-Incubating,NotApplicable,2023-07-06T08:20:59-08:00,2023-07-10T03:06:45-08:00,2023-07-06T08:20:54-08:00,2023-07-10T03:06:50-08:00,FALSE,7/6/2023 8:20,7/10/2023 3:06,5445.933333,90.76555556,15435.05,165,2023,KIEI,Destroyed,193
12,27455,23jan134,23-JAN134_1,I-Incubating,NotApplicable,2023-07-07T08:59:34-08:00,2023-07-11T03:24:22-08:00,2023-07-07T08:59:29-08:00,2023-07-11T03:24:27-08:00,FALSE,7/7/2023 8:59,7/11/2023 3:24,5424.966667,90.41611111,13838.88333,165,NA,NA,NA,NA
13,22625,13crg028,13-CRG028_1,I-Incubating,NotApplicable,2013-07-04T07:15:45-08:00,2013-07-07T23:35:15-08:00,2013-07-04T07:17:20-08:00,2013-07-07T23:37:05-08:00,FALSE,7/4/2013 7:17,7/7/2013 23:37,5299.75,88.32916667,6920.366667,162,2013,SPEI,Hatched,189
14,27947,24akm052,24-AKM052_1,I-Incubating,NotApplicable,2024-07-04T07:18:44-08:00,2024-07-07T18:56:02-08:00,2024-07-04T07:18:39-08:00,2024-07-07T18:56:07-08:00,FALSE,7/4/2024 7:18,7/7/2024 18:56,5017.466667,83.62444444,16032.36667,166,2024,SPEI,Hatched,196
15,25967,19cht010,19-CHT010_2,I-Incubating,NotApplicable,2019-06-27T12:52:26-08:00,2019-06-30T23:11:04-08:00,2019-06-27T12:52:21-08:00,2019-06-30T23:11:09-08:00,FALSE,6/27/2019 12:52,6/30/2019 23:11,4938.8,82.31333333,20017.1,161.8333333,2019,KIEI,Hatched,190
16,27735,23drs084,23-DRS084_1,I-Incubating,NotApplicable,2023-07-09T07:39:03-08:00,2023-07-12T13:12:14-08:00,2023-07-09T07:38:58-08:00,2023-07-12T13:12:19-08:00,FALSE,7/9/2023 7:38,7/12/2023 13:12,4653.35,77.55583333,13204.03333,167,2023,SPEI,Hatched,194
17,27763,23drs086,23-DRS086_1,I-Incubating,NotApplicable,2023-07-04T05:15:36-08:00,2023-07-07T09:16:37-08:00,2023-07-04T05:15:31-08:00,2023-07-07T09:16:42-08:00,FALSE,7/4/2023 5:15,7/7/2023 9:16,4561.183333,76.01972222,9641.316667,165,2023,KIEI,Hatched,192
18,27507,23hec144,23-HEC144_1,I-Incubating,NotApplicable,2023-07-02T03:42:36-08:00,2023-07-05T07:42:17-08:00,2023-07-02T03:42:31-08:00,2023-07-05T07:42:22-08:00,FALSE,7/2/2023 3:42,7/5/2023 7:42,4559.85,75.9975,16440.78333,170,2023,KIEI,Destroyed,194
19,27965,24cam058,24-CAM058_1,I-Incubating,NotApplicable,2024-07-05T04:23:42-08:00,2024-07-08T07:04:12-08:00,2024-07-05T04:23:37-08:00,2024-07-08T07:04:17-08:00,FALSE,7/5/2024 4:23,7/8/2024 7:04,4480.666667,74.67777778,27151.16667,176.75,2024,KIEI,Hatched,204
20,27556,23kwm086,23-KWM086_1,I-Incubating,NotApplicable,2023-07-08T08:35:48-08:00,2023-07-11T09:39:29-08:00,2023-07-08T08:35:43-08:00,2023-07-11T09:39:34-08:00,FALSE,7/8/2023 8:35,7/11/2023 9:39,4383.85,73.06416667,15683.11667,164,2023,SPEI,Hatched,194
21,22464,12keo001,12-KEO001_1,I-Incubating,NotApplicable,2012-06-22T06:30:15-08:00,2012-06-25T07:09:45-08:00,2012-06-22T06:39:43-08:00,2012-06-25T07:19:28-08:00,FALSE,6/22/2012 6:39,6/25/2012 7:19,4359.75,72.6625,26854.13333,166.5,2012,SPEI,Hatched,192
22,27089,22nrg021,22-NRG021_1,I-Incubating,NotApplicable,2022-07-10T04:10:50-08:00,2022-07-13T04:45:11-08:00,2022-07-10T04:10:45-08:00,2022-07-13T04:45:16-08:00,FALSE,7/10/2022 4:10,7/13/2022 4:45,4354.516667,72.57527778,17036.45,175,2022,SPEI,Hatched,201
