"","Nest_ID","merge_group","ID","Video_ID","Behavior","DateTimeBegin","DateTimeEnd","HowLeft","RecessCause","Comments_Notes","Who_Entered","Date_Entered","Double_Checked_Who","Double_Checked_Date","Date_Double_Checked","prev_beh","prev_vid","prev_end","merge_with_prev","n_rows_merged","year","found_day","species","habitat","fws_steel_band.x","eggs_max","fate","fate_day","eggs_hatched","ducklings_min","predator","camera_nest","camera_type","camera_start","camera_end","camera_fate","camera_days","camera_exposure","inc_late","inc_mean","inc_median","inc_early","inc_hatch","inc_firsthatch","found_laying","init_laying","init_mean","init_median","init_hatch","init_firsthatch","found_status","eggs_depredated","eggs_inviable","Species","Fate_video","Fate_Dep_Species_video","Min_Number_Ducklings_video","capture_date","capture_datetime","release_datetime","age","mass","wing_chord","flattened_wing","culmen","nares_distal","nares_proximal","tarsus_total","tarsus_diagonal","head","primary_ninth","transmitter","DurationSecs","NextDateTimeBegin","TimeToNextVidSecs","DurationMins","Time_Diff_Mins","Fate_video_simple","Fate_combined"
"1","11-AJS001",1,27054,"11-AJS001_1","I-Incubating",2011-06-23 05:43:30,2011-06-23 07:20:15,NA,"NotApplicable",NA,"AMM",2020-11-19,"AMM",2020-11-19,NA,NA,NA,NA,FALSE,1,2011,168,"LTDU",NA,NA,1,"Destroyed",174,NA,NA,"POJA",1,"Reconyx","2011-06-23 13:13:48",NA,"2011-06-23 14:50:48",2.033680556,0.07,173,169.8888889,168,168,NA,NA,"0",NA,170.8888889,169,NA,NA,"Active",1,NA,"LTDU","Depredated","POJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5805,2011-06-23 14:50:48,15,96.75,-450.3,"Depredated","Depredated"
"2","11-AJS001",2,27055,"11-AJS001_1","Fate-Depredated",2011-06-23 07:20:30,2011-06-23 07:20:30,NA,"NotApplicable",NA,"AMM",2020-11-19,"AMM",2020-11-19,NA,"I-Incubating","11-AJS001_1",2011-06-23 14:50:33,FALSE,1,2011,168,"LTDU",NA,NA,1,"Destroyed",174,NA,NA,"POJA",1,"Reconyx","2011-06-23 13:13:48",NA,"2011-06-23 14:50:48",2.033680556,0.07,173,169.8888889,168,168,NA,NA,"0",NA,170.8888889,169,NA,NA,"Active",1,NA,"LTDU","Depredated","POJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2011-06-23 14:51:03,15,0,-450.3,"Depredated","Depredated"
"3","11-AJS001",3,27056,"11-AJS001_1","PostFate_NotIncubating",2011-06-23 07:20:45,2011-06-25 06:32:00,NA,"P",NA,"AMM",2020-11-19,"AMM",2020-11-19,NA,"Fate-Depredated","11-AJS001_1",2011-06-23 14:50:48,FALSE,1,2011,168,"LTDU",NA,NA,1,"Destroyed",174,NA,NA,"POJA",1,"Reconyx","2011-06-23 13:13:48",NA,"2011-06-23 14:50:48",2.033680556,0.07,173,169.8888889,168,168,NA,NA,"0",NA,170.8888889,169,NA,NA,"Active",1,NA,"LTDU","Depredated","POJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169875,NA,NA,2831.25,-450.3,"Depredated","Depredated"
"4","11-AJS029",1,27022,"11-AJS029_1","U-Unviewable",2011-07-21 11:09:28,2011-07-27 11:29:28,NA,"NotApplicable","Nest is not viewable. Cannot see hen at all times on nest so incubation breaks may be unreliable and possibly not recorded; difficult to determine whether hen is on or off nest.","AMM",2020-11-12,NA,NA,NA,NA,NA,NA,FALSE,1,2011,190,"LTDU",NA,NA,0,"Hatched",208,7,NA,NA,1,"Reconyx","2011-07-21 11:16:00",NA,NA,6.013888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Active",0,0,"LTDU","Undetermined - Nest is not viewable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519600,NA,NA,8660,-6.53333333333333,"Undetermined - Nest is not viewable","Undetermined - Nest is not viewable"
"5","11-AJW002",1,21446,"11-AJW002_1","I-Incubating",2011-07-01 23:41:11,2011-07-02 01:53:11,"NotRecorded","NotApplicable",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,NA,NA,NA,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7920,2011-07-02 07:20:37,15,132,-327.183333333333,"Depredated","Depredated"
"6","11-AJW002",2,20531,"11-AJW002_1","N-NotIncubating",2011-07-02 01:53:26,2011-07-02 03:02:56,"NotRecorded","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"I-Incubating","11-AJW002_1",2011-07-02 07:20:22,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4170,2011-07-02 08:30:22,15,69.5,-327.183333333333,"Depredated","Depredated"
"7","11-AJW002",3,21340,"11-AJW002_1","I-Incubating",2011-07-02 03:03:11,2011-07-02 05:11:56,"NotRecorded","NotApplicable",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"N-NotIncubating","11-AJW002_1",2011-07-02 08:30:07,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7725,2011-07-02 10:39:22,15,128.75,-327.183333333333,"Depredated","Depredated"
"8","11-AJW002",4,20532,"11-AJW002_1","N-NotIncubating",2011-07-02 05:12:11,2011-07-02 06:26:41,"NotRecorded","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"I-Incubating","11-AJW002_1",2011-07-02 10:39:07,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4470,2011-07-02 11:54:07,15,74.5,-327.183333333333,"Depredated","Depredated"
"9","11-AJW002",5,21341,"11-AJW002_1","I-Incubating",2011-07-02 06:26:56,2011-07-02 12:24:26,"NotRecorded","NotApplicable",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"N-NotIncubating","11-AJW002_1",2011-07-02 11:53:52,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21450,2011-07-02 17:51:52,15,357.5,-327.183333333333,"Depredated","Depredated"
"10","11-AJW002",6,20533,"11-AJW002_1","N-NotIncubating",2011-07-02 12:24:41,2011-07-02 13:03:41,"NotRecorded","O","18:33:37-20:53:52 missing time due to sun/fog and hen returened at some point","Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-14,NA,"I-Incubating","11-AJW002_1",2011-07-02 17:51:37,FALSE,1,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340,2011-07-02 18:31:07,15,39,-327.183333333333,"Depredated","Depredated"
