"","ID","Nest_ID","Video_ID","Behavior","DateTimeBegin","DateTimeEnd","RecessCause","X","year","found_day","habitat","fws_steel_band.x","eggs_max","fate","fate_day","eggs_hatched","ducklings_min","predator","camera_type","camera_start","camera_end","camera_fate","camera_days","camera_exposure","inc_late","inc_mean","inc_median","inc_early","inc_hatch","inc_firsthatch","found_laying","init_laying","init_mean","init_median","init_hatch","init_firsthatch","found_status","eggs_depredated","eggs_inviable","Species","Fate_video","Fate_Dep_Species_video","Min_Number_Ducklings_video","capture_date","capture_datetime","release_datetime","age","mass","wing_chord","flattened_wing","culmen","nares_distal","nares_proximal","tarsus_total","tarsus_diagonal","head","primary_ninth","transmitter","DurationSecs","NextDateTimeBegin","TimeToNextVidSecs"
"1",27054,"11-AJS001","11-AJS001_1","I-Incubating",2011-06-23 13:13:48,2011-06-23 14:50:33,"NotApplicable",84,2011,168,NA,NA,1,"Destroyed",174,NA,NA,"POJA","Reconyx","2011-06-23 13:13:48",NA,"2011-06-23 14:50:48",2.033680556,0.07,173,169.8888889,168,168,NA,NA,"0",NA,170.8888889,169,NA,NA,"Active",1,NA,"LTDU","Depredated","POJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5805,2011-06-23 14:50:48,15
"2",27055,"11-AJS001","11-AJS001_1","Fate-Depredated",2011-06-23 14:50:48,2011-06-23 14:50:48,"NotApplicable",84,2011,168,NA,NA,1,"Destroyed",174,NA,NA,"POJA","Reconyx","2011-06-23 13:13:48",NA,"2011-06-23 14:50:48",2.033680556,0.07,173,169.8888889,168,168,NA,NA,"0",NA,170.8888889,169,NA,NA,"Active",1,NA,"LTDU","Depredated","POJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2011-06-23 14:51:03,15
"3",27056,"11-AJS001","11-AJS001_1","PostFate_NotIncubating",2011-06-23 14:51:03,2011-06-25 14:02:18,"P",84,2011,168,NA,NA,1,"Destroyed",174,NA,NA,"POJA","Reconyx","2011-06-23 13:13:48",NA,"2011-06-23 14:50:48",2.033680556,0.07,173,169.8888889,168,168,NA,NA,"0",NA,170.8888889,169,NA,NA,"Active",1,NA,"LTDU","Depredated","POJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169875,NA,NA
"4",27022,"11-AJS029","11-AJS029_1","U-Unviewable",2011-07-21 11:16:00,2011-07-27 11:36:00,"NotApplicable",91,2011,190,NA,NA,0,"Hatched",208,7,NA,NA,"Reconyx","2011-07-21 11:16:00",NA,NA,6.013888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Active",0,0,"LTDU","Undetermined - Nest is not viewable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519600,NA,NA
"5",21446,"11-AJW002","11-AJW002_1","I-Incubating",2011-07-02 05:08:22,2011-07-02 07:20:22,"NotApplicable",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7920,2011-07-02 07:20:37,15
"6",20531,"11-AJW002","11-AJW002_1","N-NotIncubating",2011-07-02 07:20:37,2011-07-02 08:30:07,"O",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4170,2011-07-02 08:30:22,15
"7",21340,"11-AJW002","11-AJW002_1","I-Incubating",2011-07-02 08:30:22,2011-07-02 10:39:07,"NotApplicable",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7725,2011-07-02 10:39:22,15
"8",20532,"11-AJW002","11-AJW002_1","N-NotIncubating",2011-07-02 10:39:22,2011-07-02 11:53:52,"O",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4470,2011-07-02 11:54:07,15
"9",21341,"11-AJW002","11-AJW002_1","I-Incubating",2011-07-02 11:54:07,2011-07-02 17:51:37,"NotApplicable",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21450,2011-07-02 17:51:52,15
"10",20533,"11-AJW002","11-AJW002_1","N-NotIncubating",2011-07-02 17:51:52,2011-07-02 18:30:52,"O",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340,2011-07-02 18:31:07,15
"11",22131,"11-AJW002","11-AJW002_1","U-Unviewable",2011-07-02 18:31:07,2011-07-02 21:00:52,"NotApplicable",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8985,2011-07-02 21:01:07,15
"12",25749,"11-AJW002","11-AJW002_1","I-Incubating",2011-07-02 21:01:07,2011-07-02 23:03:52,"NotApplicable",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7365,2011-07-02 23:04:07,15
"13",25750,"11-AJW002","11-AJW002_1","N-NotIncubating",2011-07-02 23:04:07,2011-07-02 23:51:37,"O",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2850,2011-07-02 23:51:52,15
"14",25751,"11-AJW002","11-AJW002_1","I-Incubating",2011-07-02 23:51:52,2011-07-03 06:10:37,"NotApplicable",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22725,2011-07-03 06:10:52,15
"15",20534,"11-AJW002","11-AJW002_1","N-NotIncubating",2011-07-03 06:10:52,2011-07-03 07:15:37,"O",97,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3885,2011-07-03 07:15:52,15
