"","ID","Nest_ID","Video_ID","Behavior","DateTimeBegin","DateTimeEnd","HowLeft","RecessCause","Comments_Notes","Who_Entered","Date_Entered","Double_Checked_Who","Double_Checked_Date","Date_Double_Checked","X","year","found_day","species","habitat","fws_steel_band.x","eggs_max","fate","fate_day","eggs_hatched","ducklings_min","predator","camera_nest","camera_type","camera_start","camera_end","camera_fate","camera_days","camera_exposure","inc_late","inc_mean","inc_median","inc_early","inc_hatch","inc_firsthatch","found_laying","init_laying","init_mean","init_median","init_hatch","init_firsthatch","found_status","eggs_depredated","eggs_inviable","Species","Fate_video","Fate_Dep_Species_video","Min_Number_Ducklings_video","capture_date","capture_datetime","release_datetime","age","mass","wing_chord","flattened_wing","culmen","nares_distal","nares_proximal","tarsus_total","tarsus_diagonal","head","primary_ninth","transmitter"
"1",20554,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-08 16:01:00,2011-07-08 16:39:45,"W","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",20555,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-08 17:27:45,2011-07-08 19:21:45,"W","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",20556,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-08 22:22:15,2011-07-08 23:28:30,"W","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",20558,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-09 15:51:45,2011-07-09 16:39:00,"W","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",20559,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-09 18:06:30,2011-07-09 18:26:30,"F","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",20560,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-09 23:14:15,2011-07-09 23:57:30,"W","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",20561,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-10 14:59:00,2011-07-10 15:41:30,"W","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",20562,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-10 17:08:45,2011-07-10 17:53:00,"W","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",20563,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-10 18:55:30,2011-07-10 19:55:30,"W","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",20564,"11-AJW002","11-AJW002_2","N-NotIncubating",2011-07-10 21:18:45,2011-07-10 22:12:45,"W","O",NA,"Transferred from FFWFO yearly excel table",2020-05-28,"AMM",2020-09-15,NA,97,2011,178,"LTDU",NA,NA,2,"Destroyed",202,NA,NA,"GLGU",1,"Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
