"","activity_id","nest_id","video_id","behavior","recess_cause","datetime_begin_raw","datetime_end_raw","datetime_begin_corrected","datetime_end_corrected","has_negative_duration","begin_dt","end_dt","duration_min","duration_hr"
"1",28130,"25ejs077","25-EJS077","I-Incubating","NotApplicable","2025-07-09T05:28:14-08:00","2025-07-15T03:34:15-08:00","2025-07-09T05:28:09-08:00","2025-07-15T03:34:20-08:00",FALSE,2025-07-09 05:28:09,2025-07-15 03:34:20,8526.18333333333,142.103055555556
"2",27973,"24cam058","24-CAM058_1","I-Incubating","NotApplicable","2024-07-11T04:45:02-08:00","2024-07-16T03:26:27-08:00","2024-07-11T04:44:57-08:00","2024-07-16T03:26:32-08:00",FALSE,2024-07-11 04:44:57,2024-07-16 03:26:32,7121.58333333333,118.693055555556
"3",27922,"24akm020","24-AKM020_1","I-Incubating","NotApplicable","2024-07-05T03:58:25-08:00","2024-07-10T02:33:50-08:00","2024-07-05T03:58:20-08:00","2024-07-10T02:33:55-08:00",FALSE,2024-07-05 03:58:20,2024-07-10 02:33:55,7115.58333333333,118.593055555556
"4",27435,"23jls040","23-JLS040_1","I-Incubating","NotApplicable","2023-07-01T10:07:35-08:00","2023-07-06T08:04:29-08:00","2023-07-01T10:07:30-08:00","2023-07-06T08:04:34-08:00",FALSE,2023-07-01 10:07:30,2023-07-06 08:04:34,7077.06666666667,117.951111111111
"5",27267,"22jam031","22-JAM031_2","I-Incubating","NotApplicable","2022-07-10T05:38:23-08:00","2022-07-14T10:23:01-08:00","2022-07-10T05:38:18-08:00","2022-07-14T10:23:06-08:00",FALSE,2022-07-10 05:38:18,2022-07-14 10:23:06,6044.8,100.746666666667
"6",27924,"24akm020","24-AKM020_1","I-Incubating","NotApplicable","2024-07-10T02:50:10-08:00","2024-07-14T05:03:38-08:00","2024-07-10T02:50:05-08:00","2024-07-14T05:03:43-08:00",FALSE,2024-07-10 02:50:05,2024-07-14 05:03:43,5893.63333333333,98.2272222222222
"7",27271,"22jam031","22-JAM031_2","I-Incubating","NotApplicable","2022-07-17T03:58:32-08:00","2022-07-21T06:11:50-08:00","2022-07-17T03:58:27-08:00","2022-07-21T06:11:55-08:00",FALSE,2022-07-17 03:58:27,2022-07-21 06:11:55,5893.46666666667,98.2244444444444
"8",27547,"23kwm086","23-KWM086_1","I-Incubating","NotApplicable","2023-07-02T08:57:16-08:00","2023-07-06T09:12:44-08:00","2023-07-02T08:57:11-08:00","2023-07-06T09:12:49-08:00",FALSE,2023-07-02 08:57:11,2023-07-06 09:12:49,5775.63333333333,96.2605555555556
"9",27084,"22jam031","22-JAM031_1","I-Incubating","NotApplicable","2022-07-04T08:25:42-08:00","2022-07-08T04:21:20-08:00","2022-07-04T08:25:37-08:00","2022-07-08T04:21:20-08:00",FALSE,2022-07-04 08:25:37,2022-07-08 04:21:20,5515.71666666667,91.9286111111111
"10",28111,"25ejs077","25-EJS077","I-Incubating","NotApplicable","2025-07-05T06:42:37-08:00","2025-07-09T01:46:14-08:00","2025-07-05T06:42:32-08:00","2025-07-09T01:46:19-08:00",FALSE,2025-07-05 06:42:32,2025-07-09 01:46:19,5463.78333333333,91.0630555555556
"11",27437,"23jls040","23-JLS040_1","I-Incubating","NotApplicable","2023-07-06T08:20:59-08:00","2023-07-10T03:06:45-08:00","2023-07-06T08:20:54-08:00","2023-07-10T03:06:50-08:00",FALSE,2023-07-06 08:20:54,2023-07-10 03:06:50,5445.93333333333,90.7655555555556
"12",27455,"23jan134","23-JAN134_1","I-Incubating","NotApplicable","2023-07-07T08:59:34-08:00","2023-07-11T03:24:22-08:00","2023-07-07T08:59:29-08:00","2023-07-11T03:24:27-08:00",FALSE,2023-07-07 08:59:29,2023-07-11 03:24:27,5424.96666666667,90.4161111111111
"13",22625,"13crg028","13-CRG028_1","I-Incubating","NotApplicable","2013-07-04T07:15:45-08:00","2013-07-07T23:35:15-08:00","2013-07-04T07:17:20-08:00","2013-07-07T23:37:05-08:00",FALSE,2013-07-04 07:17:20,2013-07-07 23:37:05,5299.75,88.3291666666667
"14",27947,"24akm052","24-AKM052_1","I-Incubating","NotApplicable","2024-07-04T07:18:44-08:00","2024-07-07T18:56:02-08:00","2024-07-04T07:18:39-08:00","2024-07-07T18:56:07-08:00",FALSE,2024-07-04 07:18:39,2024-07-07 18:56:07,5017.46666666667,83.6244444444444
"15",25967,"19cht010","19-CHT010_2","I-Incubating","NotApplicable","2019-06-27T12:52:26-08:00","2019-06-30T23:11:04-08:00","2019-06-27T12:52:21-08:00","2019-06-30T23:11:09-08:00",FALSE,2019-06-27 12:52:21,2019-06-30 23:11:09,4938.8,82.3133333333333
"16",27735,"23drs084","23-DRS084_1","I-Incubating","NotApplicable","2023-07-09T07:39:03-08:00","2023-07-12T13:12:14-08:00","2023-07-09T07:38:58-08:00","2023-07-12T13:12:19-08:00",FALSE,2023-07-09 07:38:58,2023-07-12 13:12:19,4653.35,77.5558333333333
"17",27763,"23drs086","23-DRS086_1","I-Incubating","NotApplicable","2023-07-04T05:15:36-08:00","2023-07-07T09:16:37-08:00","2023-07-04T05:15:31-08:00","2023-07-07T09:16:42-08:00",FALSE,2023-07-04 05:15:31,2023-07-07 09:16:42,4561.18333333333,76.0197222222222
"18",27507,"23hec144","23-HEC144_1","I-Incubating","NotApplicable","2023-07-02T03:42:36-08:00","2023-07-05T07:42:17-08:00","2023-07-02T03:42:31-08:00","2023-07-05T07:42:22-08:00",FALSE,2023-07-02 03:42:31,2023-07-05 07:42:22,4559.85,75.9975
"19",27965,"24cam058","24-CAM058_1","I-Incubating","NotApplicable","2024-07-05T04:23:42-08:00","2024-07-08T07:04:12-08:00","2024-07-05T04:23:37-08:00","2024-07-08T07:04:17-08:00",FALSE,2024-07-05 04:23:37,2024-07-08 07:04:17,4480.66666666667,74.6777777777778
"20",27556,"23kwm086","23-KWM086_1","I-Incubating","NotApplicable","2023-07-08T08:35:48-08:00","2023-07-11T09:39:29-08:00","2023-07-08T08:35:43-08:00","2023-07-11T09:39:34-08:00",FALSE,2023-07-08 08:35:43,2023-07-11 09:39:34,4383.85,73.0641666666667
"21",22464,"12keo001","12-KEO001_1","I-Incubating","NotApplicable","2012-06-22T06:30:15-08:00","2012-06-25T07:09:45-08:00","2012-06-22T06:39:43-08:00","2012-06-25T07:19:28-08:00",FALSE,2012-06-22 06:39:43,2012-06-25 07:19:28,4359.75,72.6625
"22",27089,"22nrg021","22-NRG021_1","I-Incubating","NotApplicable","2022-07-10T04:10:50-08:00","2022-07-13T04:45:11-08:00","2022-07-10T04:10:45-08:00","2022-07-13T04:45:16-08:00",FALSE,2022-07-10 04:10:45,2022-07-13 04:45:16,4354.51666666667,72.5752777777778
"23",25056,"14eeu038","14-EEU038_1","I-Incubating","NotApplicable","1999-12-31T15:13:56-09:00","2000-01-03T14:38:11-09:00","2014-07-05T11:23:23-08:00","2014-07-08T10:47:53-08:00",FALSE,2014-07-05 11:23:23,2014-07-08 10:47:53,4284.5,71.4083333333333
"24",25204,"14mwm015","14-MWM015_1","I-Incubating","NotApplicable","2014-07-05T02:54:30-08:00","2014-07-08T01:42:30-08:00","2014-07-05T05:55:07-08:00","2014-07-08T04:43:22-08:00",FALSE,2014-07-05 05:55:07,2014-07-08 04:43:22,4248.25,70.8041666666667
"25",25538,"14mwm054","14-MWM054_2","I-Incubating","NotApplicable","2014-07-05T07:04:36-08:00","2014-07-08T05:52:21-08:00","2014-07-05T10:50:00-08:00","2014-07-08T09:37:52-08:00",FALSE,2014-07-05 10:50:00,2014-07-08 09:37:52,4247.86666666667,70.7977777777778
"26",27467,"23jan116","23-JAN116_1","I-Incubating","NotApplicable","2023-07-06T08:52:48-08:00","2023-07-09T06:48:38-08:00","2023-07-06T08:52:43-08:00","2023-07-09T06:48:43-08:00",FALSE,2023-07-06 08:52:43,2023-07-09 06:48:43,4196,69.9333333333333
"27",21483,"11est009","11-EST009_3","I-Incubating","NotApplicable","2011-07-02T06:41:05-08:00","2011-07-05T04:35:20-08:00","2011-07-02T06:58:17-08:00","2011-07-05T04:52:47-08:00",FALSE,2011-07-02 06:58:17,2011-07-05 04:52:47,4194.5,69.9083333333333
"28",27451,"23jan134","23-JAN134_1","I-Incubating","NotApplicable","2023-07-03T07:10:26-08:00","2023-07-06T04:36:57-08:00","2023-07-03T07:10:21-08:00","2023-07-06T04:37:02-08:00",FALSE,2023-07-03 07:10:21,2023-07-06 04:37:02,4166.68333333333,69.4447222222222
"29",25362,"13deg044","13-DEG044_1","I-Incubating","NotApplicable","2013-07-02T13:26:22-08:00","2013-07-05T10:22:37-08:00","2013-07-02T15:09:38-08:00","2013-07-05T12:06:00-08:00",FALSE,2013-07-02 15:09:38,2013-07-05 12:06:00,4136.36666666667,68.9394444444444
"30",26243,"19noc017","19-NOC017_1","I-Incubating","NotApplicable","2019-06-26T09:33:21-08:00","2019-06-29T06:25:41-08:00","2019-06-26T09:33:16-08:00","2019-06-29T06:25:46-08:00",FALSE,2019-06-26 09:33:16,2019-06-29 06:25:46,4132.5,68.875
"31",27072,"22esw041","22-ESW041_1","I-Incubating","NotApplicable","2022-07-05T07:54:03-08:00","2022-07-08T04:31:24-08:00","2022-07-05T07:53:58-08:00","2022-07-08T04:31:29-08:00",FALSE,2022-07-05 07:53:58,2022-07-08 04:31:29,4117.51666666667,68.6252777777778
"32",25955,"11est009","11-EST009_2","I-Incubating","NotApplicable","2011-06-27T09:17:20-08:00","2011-06-30T05:41:35-08:00","2011-06-27T09:34:32-08:00","2011-06-30T05:59:02-08:00",FALSE,2011-06-27 09:34:32,2011-06-30 05:59:02,4104.5,68.4083333333333
"33",27257,"22nrg021","22-NRG021_2","I-Incubating","NotApplicable","2022-07-17T06:17:37-08:00","2022-07-20T01:55:48-08:00","2022-07-17T06:17:32-08:00","2022-07-20T01:55:53-08:00",FALSE,2022-07-17 06:17:32,2022-07-20 01:55:53,4058.35,67.6391666666667
"34",27236,"22esw041","22-ESW041_2","I-Incubating","NotApplicable","2022-07-14T11:57:27-08:00","2022-07-17T04:21:28-08:00","2022-07-14T11:57:22-08:00","2022-07-17T04:21:33-08:00",FALSE,2022-07-14 11:57:22,2022-07-17 04:21:33,3864.18333333333,64.4030555555556
"35",27269,"22jam031","22-JAM031_2","I-Incubating","NotApplicable","2022-07-14T10:36:21-08:00","2022-07-17T02:52:22-08:00","2022-07-14T10:36:16-08:00","2022-07-17T02:52:27-08:00",FALSE,2022-07-14 10:36:16,2022-07-17 02:52:27,3856.18333333333,64.2697222222222
"36",21458,"11caa001",NA,"I-Incubating","NotApplicable","2011-06-29T22:47:30-08:00","2011-07-02T13:29:45-08:00","2011-06-29T22:47:22-08:00","2011-07-02T13:29:52-08:00",FALSE,2011-06-29 22:47:22,2011-07-02 13:29:52,3762.5,62.7083333333333
"37",28153,"25cbp038","25-CBP038","I-Incubating","NotApplicable","2025-07-15T11:17:08-08:00","2025-07-18T01:53:49-08:00","2025-07-15T11:17:03-08:00","2025-07-18T01:53:54-08:00",FALSE,2025-07-15 11:17:03,2025-07-18 01:53:54,3756.85,62.6141666666667
"38",21491,"11jmc002",NA,"I-Incubating","NotApplicable","2011-06-27T09:00:34-08:00","2011-06-29T23:03:47-08:00","2011-06-27T09:00:26-08:00","2011-06-29T23:03:54-08:00",FALSE,2011-06-27 09:00:26,2011-06-29 23:03:54,3723.46666666667,62.0577777777778
"39",22524,"13deg044","13-DEG044_3","I-Incubating","NotApplicable","2013-07-09T07:02:10-08:00","2013-07-11T20:56:40-08:00","2013-07-09T08:45:17-08:00","2013-07-11T22:40:02-08:00",FALSE,2013-07-09 08:45:17,2013-07-11 22:40:02,3714.75,61.9125
"40",28055,"24jan109","24-JAN109_1","I-Incubating","NotApplicable","2024-07-13T02:23:25-08:00","2024-07-15T13:17:19-08:00","2024-07-13T02:23:20-08:00","2024-07-15T13:17:24-08:00",FALSE,2024-07-13 02:23:20,2024-07-15 13:17:24,3534.06666666667,58.9011111111111
"41",22527,"13deg047","13-DEG047_1","I-Incubating","NotApplicable","2013-07-11T02:27:56-08:00","2013-07-13T13:14:56-08:00","2013-07-11T06:07:29-08:00","2013-07-13T16:54:44-08:00",FALSE,2013-07-11 06:07:29,2013-07-13 16:54:44,3527.25,58.7875
"42",25261,"19noc018","19-NOC018_1","I-Incubating","NotApplicable","2019-07-04T05:11:41-08:00","2019-07-06T15:39:34-08:00","2019-07-04T05:06:27-08:00","2019-07-06T15:34:30-08:00",FALSE,2019-07-04 05:06:27,2019-07-06 15:34:30,3508.05,58.4675
"43",22304,"12mtw040","12-MTW040_1","I-Incubating","NotApplicable","2012-07-02T09:15:10-08:00","2012-07-04T17:56:55-08:00","2012-07-02T09:25:47-08:00","2012-07-04T18:07:47-08:00",FALSE,2012-07-02 09:25:47,2012-07-04 18:07:47,3402,56.7
"44",23005,"15qmb003","15-QMB003_1","I-Incubating","NotApplicable","2015-07-01T13:04:15-08:00","2015-07-03T20:03:15-08:00","2015-07-01T12:50:07-08:00","2015-07-03T19:49:22-08:00",FALSE,2015-07-01 12:50:07,2015-07-03 19:49:22,3299.25,54.9875
"45",27491,"23jan038","23-JAN038_1","I-Incubating","NotApplicable","2023-06-29T06:23:37-08:00","2023-07-01T11:03:22-08:00","2023-06-29T06:23:32-08:00","2023-07-01T11:03:27-08:00",FALSE,2023-06-29 06:23:32,2023-07-01 11:03:27,3159.91666666667,52.6652777777778
"46",25315,"12rrg007","12-RRG007_1","I-Incubating","NotApplicable","2012-06-25T22:41:13-08:00","2012-06-28T02:41:28-08:00","2012-06-26T00:15:02-08:00","2012-06-28T04:15:32-08:00",FALSE,2012-06-26 00:15:02,2012-06-28 04:15:32,3120.5,52.0083333333333
"47",27583,"23drs009","23-DRS009_1","I-Incubating","NotApplicable","2013-01-17T18:31:30-09:00","2013-01-19T22:18:03-09:00","2023-06-22T22:23:31-08:00","2023-06-25T02:10:14-08:00",FALSE,2023-06-22 22:23:31,2023-06-25 02:10:14,3106.71666666667,51.7786111111111
"48",27727,"23drs084","23-DRS084_1","I-Incubating","NotApplicable","2023-07-04T05:04:39-08:00","2023-07-06T08:36:13-08:00","2023-07-04T05:04:34-08:00","2023-07-06T08:36:18-08:00",FALSE,2023-07-04 05:04:34,2023-07-06 08:36:18,3091.73333333333,51.5288888888889
"49",25959,"11est009","11-EST009_4","I-Incubating","NotApplicable","2011-07-07T02:05:13-08:00","2011-07-09T05:08:28-08:00","2011-07-07T02:22:33-08:00","2011-07-09T05:25:48-08:00",FALSE,2011-07-07 02:22:33,2011-07-09 05:25:48,3063.25,51.0541666666667
"50",21808,"11mcz010",NA,"I-Incubating","NotApplicable","2011-07-01T11:12:41-08:00","2011-07-03T14:01:49-08:00","2011-07-01T11:12:33-08:00","2011-07-03T14:01:56-08:00",FALSE,2011-07-01 11:12:33,2011-07-03 14:01:56,3049.38333333333,50.8230555555556
"51",21459,"11caa001",NA,"I-Incubating","NotApplicable","2011-07-02T13:41:15-08:00","2011-07-04T16:29:15-08:00","2011-07-02T13:41:07-08:00","2011-07-04T16:29:22-08:00",FALSE,2011-07-02 13:41:07,2011-07-04 16:29:22,3048.25,50.8041666666667
"52",27902,"24akm020","24-AKM020_1","I-Incubating","NotApplicable","2024-06-27T02:45:19-08:00","2024-06-29T05:28:33-08:00","2024-06-27T02:45:14-08:00","2024-06-29T05:28:38-08:00",FALSE,2024-06-27 02:45:14,2024-06-29 05:28:38,3043.4,50.7233333333333
"53",21805,"11mcz010",NA,"I-Incubating","NotApplicable","2011-06-26T11:11:59-08:00","2011-06-28T13:48:29-08:00","2011-06-26T11:11:51-08:00","2011-06-28T13:48:36-08:00",FALSE,2011-06-26 11:11:51,2011-06-28 13:48:36,3036.75,50.6125
"54",27898,"24akm020","24-AKM020_1","I-Incubating","NotApplicable","2024-06-24T05:47:49-08:00","2024-06-26T08:14:33-08:00","2024-06-24T05:47:44-08:00","2024-06-26T08:14:38-08:00",FALSE,2024-06-24 05:47:44,2024-06-26 08:14:38,3026.9,50.4483333333333
"55",25363,"13deg044","13-DEG044_2","I-Incubating","NotApplicable","2013-07-07T04:01:45-08:00","2013-07-09T06:15:00-08:00","2013-07-07T05:45:01-08:00","2013-07-09T07:58:16-08:00",FALSE,2013-07-07 05:45:01,2013-07-09 07:58:16,3013.25,50.2208333333333
"56",28143,"25cbp038","25-CBP038","I-Incubating","NotApplicable","2025-07-13T04:33:34-08:00","2025-07-15T06:44:48-08:00","2025-07-13T04:33:29-08:00","2025-07-15T06:44:53-08:00",FALSE,2025-07-13 04:33:29,2025-07-15 06:44:53,3011.4,50.19
"57",25194,"14mtw053","14-MTW053_4","I-Incubating","NotApplicable","2014-07-12T11:29:30-08:00","2014-07-14T13:27:00-08:00","2014-07-12T11:29:22-08:00","2014-07-14T13:27:07-08:00",FALSE,2014-07-12 11:29:22,2014-07-14 13:27:07,2997.75,49.9625
"58",22489,"12jjn009","12-JJN009_4","I-Incubating","NotApplicable","2012-07-07T04:44:55-08:00","2012-07-09T06:41:25-08:00","2012-07-07T07:44:37-08:00","2012-07-09T09:41:22-08:00",FALSE,2012-07-07 07:44:37,2012-07-09 09:41:22,2996.75,49.9458333333333
"59",21893,"11ncs003","11-NCS003_1","I-Incubating","NotApplicable","2011-06-21T08:25:30-08:00","2011-06-23T10:08:00-08:00","2011-06-22T08:30:38-08:00","2011-06-24T10:13:23-08:00",FALSE,2011-06-22 08:30:38,2011-06-24 10:13:23,2982.75,49.7125
"60",28131,"25cbp040","25-CBP040","I-Incubating","NotApplicable","2025-07-09T05:55:15-08:00","2025-07-11T07:14:39-08:00","2025-07-09T05:55:10-08:00","2025-07-11T07:14:44-08:00",FALSE,2025-07-09 05:55:10,2025-07-11 07:14:44,2959.56666666667,49.3261111111111
"61",27904,"24akm020","24-AKM020_1","I-Incubating","NotApplicable","2024-06-29T05:45:23-08:00","2024-07-01T06:42:57-08:00","2024-06-29T05:45:18-08:00","2024-07-01T06:43:02-08:00",FALSE,2024-06-29 05:45:18,2024-07-01 06:43:02,2937.73333333333,48.9622222222222
"62",27067,"22esw041","22-ESW041_1","I-Incubating","NotApplicable","2022-07-02T06:56:03-08:00","2022-07-04T07:51:37-08:00","2022-07-02T06:55:58-08:00","2022-07-04T07:51:42-08:00",FALSE,2022-07-02 06:55:58,2022-07-04 07:51:42,2935.73333333333,48.9288888888889
"63",22720,"15ery012","15-ERY012_1","I-Incubating","NotApplicable","2015-06-28T10:03:45-08:00","2015-06-30T10:51:08-08:00","2015-06-28T10:03:37-08:00","2015-06-30T10:51:08-08:00",FALSE,2015-06-28 10:03:37,2015-06-30 10:51:08,2927.51666666667,48.7919444444444
"64",27577,"23drs009","23-DRS009_1","I-Incubating","NotApplicable","2013-01-14T20:24:29-09:00","2013-01-16T21:11:03-09:00","2023-06-20T00:16:30-08:00","2023-06-22T01:03:14-08:00",FALSE,2023-06-20 00:16:30,2023-06-22 01:03:14,2926.73333333333,48.7788888888889
"65",22306,"12mtw040","12-MTW040_2","I-Incubating","NotApplicable","2012-07-06T22:32:18-08:00","2012-07-08T23:17:03-08:00","2012-07-06T22:54:55-08:00","2012-07-08T23:39:55-08:00",FALSE,2012-07-06 22:54:55,2012-07-08 23:39:55,2925,48.75
