"","ID","Nest_ID","Video_ID","Behavior","DateTimeBegin","DateTimeEnd","RecessCause","X","year","found_day","habitat","fws_steel_band.x","eggs_max","fate","fate_day","eggs_hatched","ducklings_min","predator","camera_type","camera_start","camera_end","camera_fate","camera_days","camera_exposure","inc_late","inc_mean","inc_median","inc_early","inc_hatch","inc_firsthatch","found_laying","init_laying","init_mean","init_median","init_hatch","init_firsthatch","found_status","eggs_depredated","eggs_inviable","Species","Fate_video","Fate_Dep_Species_video","Min_Number_Ducklings_video","capture_date","capture_datetime","release_datetime","age","mass","wing_chord","flattened_wing","culmen","nares_distal","nares_proximal","tarsus_total","tarsus_diagonal","head","primary_ninth","transmitter","DurationSecs","NextDateTimeBegin","TimeToNextVidSecs","DurationMins","Time_Diff_Mins","Fate_video_simple","Fate_combined"
"1",27054,"11-AJS001","11-AJS001_1","I-Incubating",2011-06-23 05:43:30,2011-06-23 07:20:15,"NotApplicable",84,2011,168,NA,NA,1,"Destroyed",174,NA,NA,"POJA","Reconyx","2011-06-23 13:13:48",NA,"2011-06-23 14:50:48",2.033680556,0.07,173,169.8888889,168,168,NA,NA,"0",NA,170.8888889,169,NA,NA,"Active",1,NA,"LTDU","Depredated","POJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5805,2011-06-23 14:50:48,15,38.75,-450.3,"Depredated","Depredated"
"2",27055,"11-AJS001","11-AJS001_1","Fate-Depredated",2011-06-23 07:20:30,2011-06-23 07:20:30,"NotApplicable",84,2011,168,NA,NA,1,"Destroyed",174,NA,NA,"POJA","Reconyx","2011-06-23 13:13:48",NA,"2011-06-23 14:50:48",2.033680556,0.07,173,169.8888889,168,168,NA,NA,"0",NA,170.8888889,169,NA,NA,"Active",1,NA,"LTDU","Depredated","POJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2011-06-23 14:51:03,15,114,-450.3,"Depredated","Depredated"
"3",27056,"11-AJS001","11-AJS001_1","PostFate_NotIncubating",2011-06-23 07:20:45,2011-06-25 06:32:00,"P",84,2011,168,NA,NA,1,"Destroyed",174,NA,NA,"POJA","Reconyx","2011-06-23 13:13:48",NA,"2011-06-23 14:50:48",2.033680556,0.07,173,169.8888889,168,168,NA,NA,"0",NA,170.8888889,169,NA,NA,"Active",1,NA,"LTDU","Depredated","POJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169875,NA,NA,66.25,-450.3,"Depredated","Depredated"
"4",27022,"11-AJS029","11-AJS029_1","U-Unviewable",2011-07-21 11:09:28,2011-07-27 11:29:28,"NotApplicable",96,2011,190,NA,NA,0,"Hatched",208,7,NA,NA,"Reconyx","2011-07-21 11:16:00",NA,NA,6.013888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Active",0,0,"LTDU","Undetermined - Nest is not viewable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519600,NA,NA,47.25,-6.53333333333333,"Undetermined - Nest is not viewable","Undetermined - Nest is not viewable"
"5",21446,"11-AJW002","11-AJW002_1","I-Incubating",2011-07-01 23:41:11,2011-07-02 01:53:11,"NotApplicable",102,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7920,2011-07-02 07:20:37,15,20,-327.183333333333,"Depredated","Depredated"
"6",20531,"11-AJW002","11-AJW002_1","N-NotIncubating",2011-07-02 01:53:26,2011-07-02 03:02:56,"O",102,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4170,2011-07-02 08:30:22,15,43.25,-327.183333333333,"Depredated","Depredated"
"7",21340,"11-AJW002","11-AJW002_1","I-Incubating",2011-07-02 03:03:11,2011-07-02 05:11:56,"NotApplicable",102,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7725,2011-07-02 10:39:22,15,42.5,-327.183333333333,"Depredated","Depredated"
"8",20532,"11-AJW002","11-AJW002_1","N-NotIncubating",2011-07-02 05:12:11,2011-07-02 06:26:41,"O",102,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4470,2011-07-02 11:54:07,15,44.25,-327.183333333333,"Depredated","Depredated"
"9",21341,"11-AJW002","11-AJW002_1","I-Incubating",2011-07-02 06:26:56,2011-07-02 12:24:26,"NotApplicable",102,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21450,2011-07-02 17:51:52,15,60,-327.183333333333,"Depredated","Depredated"
"10",20533,"11-AJW002","11-AJW002_1","N-NotIncubating",2011-07-02 12:24:41,2011-07-02 13:03:41,"O",102,2011,178,NA,NA,2,"Destroyed",202,NA,NA,"GLGU","Reconyx","2011-07-02 5:08:22",NA,"2011-07-21 14:10:28",21.07072917,19.38,183,182.5,182.5,182,NA,NA,NA,NA,182.5,182.5,NA,NA,"Active",1,0,"LTDU","Depredated","GLGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340,2011-07-02 18:31:07,15,54,-327.183333333333,"Depredated","Depredated"
